product_id,tn
20001,980.2984
20002,973.4234
20003,548.4196
20004,368.1155
20005,573.1358
20006,366.84595
20007,187.03815
20008,263.7344
20009,485.7624
20010,219.42876
20011,484.74426
20012,204.06938
20013,340.5443
20014,270.8015
20015,282.77475
20016,184.42056
20017,218.09439
20018,133.47148
20019,226.40634
20020,277.7801
20021,10.102768
20022,282.63242
20023,132.70238
20024,147.6707
20025,196.75381
20026,192.57875
20027,220.93771
20028,94.98658
20029,183.69748
20030,61.385826
20031,95.08332
20033,63.59401
20035,84.29812
20037,192.19049
20038,176.99713
20039,174.84024
20041,63.48867
20042,168.97842
20043,46.156105
20044,156.89886
20045,99.5594
20046,162.21683
20047,163.26743
20050,79.91168
20051,59.030533
20052,86.706055
20053,156.73157
20054,176.34737
20055,99.54338
20056,104.97354
20057,109.832596
20058,118.43596
20059,175.44936
20061,160.79813
20062,114.77869
20063,134.76941
20065,127.50194
20066,99.2354
20067,68.930565
20068,100.25823
20069,112.10254
20070,105.56354
20071,103.56652
20072,56.60685
20073,98.28913
20074,52.249065
20075,166.36134
20076,97.68632
20077,136.44127
20079,18.593977
20080,133.99353
20081,91.13153
20082,93.06913
20084,117.55943
20086,52.41043
20087,56.079678
20090,87.56114
20091,101.2153
20092,48.723106
20093,85.54893
20094,140.8145
20095,36.22357
20096,68.27869
20097,54.859894
20099,65.35308
20100,24.130196
20101,89.78001
20102,17.19712
20103,85.03943
20106,79.01097
20107,50.77452
20108,30.65771
20109,75.7762
20111,74.297615
20114,61.188255
20116,117.680565
20117,39.243645
20118,33.404507
20119,59.610336
20120,43.4159
20121,88.59235
20122,70.60057
20123,62.007393
20124,47.628548
20125,85.63165
20129,29.8843
20132,54.817467
20133,73.51325
20134,83.49918
20137,46.295288
20138,24.02922
20139,63.00473
20140,84.69888
20142,64.32225
20144,69.87953
20145,52.540134
20146,-13.981394
20148,76.033966
20151,40.092133
20152,50.361645
20153,45.232727
20155,49.948215
20157,57.228695
20158,64.00732
20160,37.627457
20161,53.071087
20162,66.240234
20166,60.61489
20167,50.747826
20168,12.391852
20175,21.496815
20176,48.47037
20177,47.614304
20179,37.065517
20180,30.137474
20181,45.737694
20182,44.592724
20183,12.520302
20184,34.816406
20187,28.517105
20188,29.626348
20189,36.50835
20192,48.377533
20193,31.493126
20196,20.021118
20197,46.094032
20198,40.90152
20200,35.987427
20201,40.481415
20205,40.873764
20206,29.144142
20207,-3.844493
20208,38.29064
20209,35.377884
20211,14.696585
20212,32.271988
20215,33.81762
20216,-5.1712127
20219,29.786364
20220,29.723503
20222,18.223696
20224,30.181992
20225,23.744022
20226,23.900513
20227,58.38735
20228,-0.64095783
20230,18.267012
20231,18.484007
20232,38.990047
20233,42.10746
20234,2.7977114
20235,54.726326
20238,23.203335
20239,16.895882
20240,24.970268
20241,25.86631
20242,10.057046
20244,24.23983
20246,28.083374
20249,18.409546
20251,18.828142
20252,16.666164
20253,22.57711
20254,18.045492
20255,5.97211
20256,18.659843
20259,24.93533
20263,21.396988
20264,15.214192
20265,12.601081
20267,25.256882
20268,24.931694
20269,14.112808
20270,16.694752
20271,20.197632
20272,15.581863
20273,26.885128
20275,27.669994
20276,22.850994
20277,16.48989
20278,23.329424
20280,17.321043
20281,18.525501
20282,21.090824
20283,12.779052
20284,15.237794
20285,14.587412
20288,18.362316
20289,11.620029
20290,15.843695
20291,14.014769
20292,8.492898
20295,10.4234295
20296,22.943604
20299,11.600326
20300,17.277878
20301,15.598294
20302,-3.8050706
20303,14.564436
20304,13.410826
20305,10.688022
20307,20.863195
20309,26.314297
20310,15.033354
20311,19.938648
20313,33.03023
20314,17.508207
20315,15.716983
20316,42.371784
20317,15.334081
20320,14.543345
20321,29.372782
20322,-0.9163537
20324,10.134396
20325,7.706574
20326,15.849541
20327,18.237759
20328,1.5853076
20329,14.527919
20330,18.813784
20332,7.54306
20335,13.772747
20336,18.179592
20338,14.980293
20341,16.230896
20342,20.630283
20346,11.355706
20349,11.086248
20350,11.034873
20352,23.05635
20353,14.075729
20354,16.710361
20356,18.807167
20357,16.48551
20358,13.922876
20359,11.877558
20361,25.22429
20362,-5.2898273
20365,19.37496
20366,13.139204
20367,13.701967
20372,8.326509
20375,3.795129
20379,2.3761625
20380,19.602068
20381,20.239895
20382,6.120675
20383,8.45755
20384,9.008869
20385,11.757624
20386,12.66948
20388,0.6291183
20396,5.1540647
20398,6.9404573
20400,8.971161
20401,14.190819
20404,8.798816
20406,13.301974
20407,10.718917
20409,-0.1728847
20410,6.871077
20411,12.768099
20416,5.607888
20418,5.2208843
20419,11.767232
20421,9.87386
20422,6.532794
20424,6.8863134
20426,9.442252
20428,1.7623577
20429,8.105907
20432,9.114381
20433,16.454855
20434,11.7195635
20438,17.371536
20443,9.246405
20449,5.987066
20450,11.243676
20456,4.6633015
20463,10.337371
20464,0.4473082
20465,7.6137958
20466,10.559896
20469,9.656563
20470,1.7747073
20473,12.460437
20474,11.217922
20480,5.0449605
20482,4.9259686
20483,6.3952374
20484,3.5088308
20490,2.0779269
20497,2.3181076
20500,10.5003395
20502,8.754805
20505,6.250031
20509,2.8227026
20517,6.623088
20520,9.059771
20524,5.237136
20530,9.582726
20532,5.8382945
20536,7.6522503
20538,9.367958
20539,6.1765895
20549,6.5625477
20551,5.167479
20555,6.7308574
20560,4.3274574
20561,1.9548231
20563,8.160591
20565,5.66525
20568,5.074168
20570,7.90661
20572,3.076092
20579,2.9722428
20583,4.5902367
20585,9.400569
20586,4.4824677
20596,2.1842299
20597,2.0915303
20599,4.8448505
20600,5.586704
20601,3.945319
20602,5.0835085
20605,6.190089
20606,2.8665156
20609,2.410801
20612,8.020982
20614,1.9082625
20617,2.851737
20622,7.028615
20628,2.1614895
20629,3.3119755
20632,3.377311
20636,3.6870105
20637,4.9121504
20639,6.140424
20640,4.8743296
20641,2.9369035
20642,4.080803
20644,2.2030694
20647,6.0074644
20651,0.3852805
20652,2.120407
20653,4.8940353
